client_id,latency_ms,memory_spike_mb
3,2085.8154296875,3.27734375
4,2117.7194118499756,2.8125
1,2112.5051975250244,0
0,2127.469301223755,0
4,1744.6181774139404,2.39453125
3,1769.0660953521729,0
2,1822.835922241211,2.02734375
1,1778.7535190582275,1.71875
0,1777.616024017334,2.3984375
4,1871.3340759277344,0.4609375
3,1913.1171703338623,2.3828125
2,1966.127872467041,0.328125
0,1925.0493049621582,0
921875
4,1910.912036895752,2.375
3,1916.6667461395264,3.28125
0,1905.9691429138184,3.2890625
2,1960.6680870056152,2.3984375
1,1975.6309986114502,2.70703125
4,730.626106262207,1.57421875
3,1728.9495468139648,2.39453125
0,1808.0706596374512,2.390625
2,1798.8507747650146,2.390625
1,1838.3469581604004,2.70703125
4,1975.6617546081543,0.77734375
3,2087.7041816711426,2.3671875
0,2195.310354232788,0
2,2193.7482357025146,1.96484375
1,2243.093967437744,3.10546875
4,2034.6667766571045,2.390625
3,1912.7795696258545,2.6953125
0,1975.0287532806396,3.2890625
2,1960.7713222503662,3.1328125
1,2004.7357082366943,1.99609375
4,1990.6184673309326,0
3,2006.2181949615479,1.33984375
1,1641.7019367218018,2.94140625
2,2024.5561599731445,2.39453125
0,2069.8986053466797,2.39453125
4,2031.6903591156006,2.81640625
3,2102.4065017700195,3.2578125
1,2121.166944503784,2.02734375
0,2133.6936950683594,2.37109375
2,2238.2614612579346,1.9609375
4,2139.937400817871,2.3984375
3,2423.8924980163574,2.69921875
1,2412.4419689178467,3.0625
0,2392.0083045959473,4.67578125
2,2458.3804607391357,3.140625
4,2379.136323928833,3.80859375
3,2119.852066040039,2.41796875
1,2040.154218673706,0.02734375
0,1955.5423259735107,1.0390625
2,1859.7691059112549,2.421875
3,2111.557722091675,2.8671875
2,2176.6183376312256,3.25390625
4,2146.1551189422607,2.1171875
0,2170.0897216796875,2.87109375
1,2170.0916290283203,3.015625
3,2248.2247352600098,2.75
2,2195.6489086151123,1.94140625
1,2187.793731689453,3.2890625
0,2370.452642440796,2.75
4,2424.3297576904297,2.75390625
3,2057.4328899383545,3.29296875
1,2064.342975616455,0
2,2093.458414077759,2.828125
0,2034.6794128417969,3.0078125
4,2185.952663421631,2.7109375
3,2123.342990875244,2.39453125
1,2137.7978324890137,3.23828125
2,2100.860357284546,2.328125
0,2048.731803894043,2.72265625
4,2081.284761428833,2.7109375
3,2127.537488937378,2.375
1,2090.855121612549,2.8203125
2,2094.8493480682373,3.13671875
0,2174.6649742126465,2.671875
4,2070.002794265747,2.69921875
2,554.826021194458,8.46875
3,2073.806047439575,2.65234375
1,2044.3580150604248,2.453125
0,2007.5337886810303,2.375
4,2077.7029991149902,2.69921875
2,2013.2052898406982,1.91015625
3,2033.0810546875,2.9453125
1,2031.665325164795,2.4140625
0,1992.3219680786133,2.3359375
4,2004.1630268096924,2.76953125
2,1965.6271934509277,2.39453125
3,1925.2779483795166,0.3046875
1,1900.7411003112793,2.8125
0,1941.2140846252441,0.296875
4,1929.5616149902344,2.328125
2,1847.0244407653809,1.9609375
3,1933.8304996490479,0
1,2015.8605575561523,2.453125
0,1984.9987030029297,2.37890625
4,1985.9850406646729,2.69921875
2,1907.8283309936523,3.13671875
3,2005.8894157409668,0
1,2071.7148780822754,0
0,2110.365629196167,2.6796875
4,2034.0759754180908,2.69921875
2,1992.2699928283691,2.39453125
3,1923.598051071167,2.3671875
1,1940.2475357055664,2.3984375
0,1946.9034671783447,2.3984375
4,1950.3040313720703,2.703125
2,1976.3498306274414,1.95703125
3,2069.0600872039795,3.265625
1,2091.477870941162,2.4453125
0,1982.7117919921875,2.375
4,2185.026168823242,2.69921875
2,2203.9825916290283,3.13671875
3,2103.8730144500732,2.9453125
0,2001.3525485992432,2.3359375
